InteractionID	PeakID.1.	chr.1.	start.1.	end.1.	strand.1.	Total.Reads.1.	PeakID.2.	chr.2.	start.2.	end.2.	strand.2.	Total.Reads.2.	Distance	Interaction.Reads	Expected.Reads	Z.score	LogP	FDR.Benjamini..based.on.3.68e.08.total.tests.	Circos.Thickness
interaction146217	chr14-100100000	chr14	100100000	100200000	+	15321	chr14-37300000	chr14	37300000	37400000	+	11581	62808710	10	2.28673	1.520623	-8.894443	0.3455	2
interaction146255	chr14-60800000	chr14	60800000	60900000	+	11567	chr14-41700000	chr14	41700000	41800000	+	11409	19106191	11	2.743642	1.416993	-8.893092	0.345877	2
interaction146256	chr15-102900000	chr15	102900000	103000000	+	12891	chr15-73500000	chr15	73500000	73600000	+	6975	29396839	9	1.856312	1.572211	-8.893079	0.34588	2
interaction146270	chr15-82400000	chr15	82400000	82500000	+	12484	chr15-77300000	chr15	77300000	77400000	+	9210	5105124	13	3.721653	1.319363	-8.892858	0.345923	2
interaction146273	chr14-75900000	chr14	75900000	76000000	+	11363	chr14-25700000	chr14	25700000	25800000	+	10615	50191731	9	1.8561	1.578077	-8.892806	0.345934	2
interaction146280	chr14-19100000	chr14	19100000	19200000	+	10813	chr14-14900000	chr14	14900000	15000000	+	11434	4197109	15	4.770732	1.237257	-8.89253	0.346013	2
interaction146324	chr14-117100000	chr14	117100000	117200000	+	11970	chr14-82100000	chr14	82100000	82200000	+	12487	34984659	11	2.744153	1.424145	-8.891376	0.346309	2
interaction146329	chr15-90900000	chr15	90900000	91000000	+	8105	chr15-26500000	chr15	26500000	26600000	+	13705	64416164	8	1.454507	1.680894	-8.89126	0.346336	2
interaction146333	chr15-102500000	chr15	102500000	102600000	+	10381	chr15-99700000	chr15	99700000	99800000	+	12258	2817050	18	6.452147	1.155515	-8.891188	0.346352	2
interaction146334	chr15-53400000	chr15	53400000	53500000	+	9087	chr15-51600000	chr15	51600000	51700000	+	14697	1802259	21	8.235799	1.112042	-8.891119	0.346373	2
interaction146343	chr14-52800000	chr14	52800000	52900000	+	12802	chr14-22300000	chr14	22300000	22400000	+	9220	30514047	10	2.287918	1.492382	-8.890898	0.346429	2
interaction146352	chr15-102200000	chr15	102200000	102300000	+	7932	chr15-96100000	chr15	96100000	96200000	+	12735	6100866	12	3.223804	1.36303	-8.890793	0.346448	2
interaction146353	chr14-70200000	chr14	70200000	70300000	+	9606	chr14-28100000	chr14	28100000	28200000	+	13973	42087372	10	2.287936	1.504092	-8.89072	0.346467	2
interaction146359	chr15-71100000	chr15	71100000	71200000	+	9891	chr15-44900000	chr15	44900000	45000000	+	14586	26180391	11	2.744579	1.42501	-8.890593	0.346496	2
interaction146361	chr15-90400000	chr15	90400000	90500000	+	10135	chr15-70000000	chr15	70000000	70100000	+	10839	20420456	10	2.287937	1.493945	-8.890571	0.346499	2
interaction146372	chr15-86100000	chr15	86100000	86200000	+	11366	chr15-36200000	chr15	36200000	36300000	+	13316	49882566	10	2.287954	1.503243	-8.890226	0.346593	2
interaction146382	chr15-82800000	chr15	82800000	82900000	+	10565	chr15-12700000	chr15	12700000	12800000	+	14694	70094721	9	1.85682	1.623463	-8.88996	0.346662	2
interaction146387	chr15-70600000	chr15	70600000	70700000	+	13240	chr15-15700000	chr15	15700000	15800000	+	14638	54904860	11	2.744581	1.448019	-8.889795	0.346707	2
interaction146390	chr14-113800000	chr14	113800000	113900000	+	14061	chr14-96700000	chr14	96700000	96800000	+	9191	17066167	11	2.744941	1.421707	-8.889708	0.34673	2
interaction146396	chr15-94600000	chr15	94600000	94700000	+	8306	chr15-46400000	chr15	46400000	46500000	+	10857	48217292	8	1.454867	1.669205	-8.889536	0.346775	2
interaction146401	chr15-88900000	chr15	88900000	89000000	+	7979	chr15-83200000	chr15	83200000	83300000	+	12854	5687997	12	3.224297	1.367652	-8.889378	0.346818	2
interaction146404	chr15-102900000	chr15	102900000	103000000	+	12891	chr15-59200000	chr15	59200000	59300000	+	12661	43725047	11	2.74479	1.434087	-8.889251	0.346855	2
interaction146418	chr15-101700000	chr15	101700000	101800000	+	12634	chr15-73900000	chr15	73900000	74000000	+	12598	27801227	12	3.223912	1.367345	-8.888837	0.346965	2
interaction146433	chr15-102200000	chr15	102200000	102300000	+	7932	chr15-99100000	chr15	99100000	99200000	+	9572	3096645	13	3.723669	1.356267	-8.888344	0.347101	2
interaction146438	chr15-48800000	chr15	48800000	48900000	+	10682	chr15-19100000	chr15	19100000	19200000	+	11259	29683975	10	2.28856	1.496501	-8.888267	0.347116	2
interaction146443	chr14-107500000	chr14	107500000	107600000	+	11270	chr14-96000000	chr14	96000000	96100000	+	12270	11490183	12	3.224321	1.349084	-8.888016	0.347194	2
interaction146450	chr14-121700000	chr14	121700000	121800000	+	10468	chr14-64900000	chr14	64900000	65000000	+	12168	56799397	9	1.85737	1.598645	-8.887799	0.34725	2
interaction146451	chr15-88800000	chr15	88800000	88900000	+	9629	chr15-55400000	chr15	55400000	55500000	+	15737	33416112	11	2.745523	1.418203	-8.887745	0.347266	2
interaction146454	chr14-106800000	chr14	106800000	106900000	+	6562	chr14-105100000	chr14	105100000	105200000	+	10140	1680350	15	4.774248	1.340435	-8.887642	0.347295	2
interaction146462	chr14-49000000	chr14	49000000	49100000	+	12744	chr14-30800000	chr14	30800000	30900000	+	12205	18194992	12	3.224421	1.358197	-8.887493	0.347328	2
interaction146466	chr14-77000000	chr14	77000000	77100000	+	13572	chr14-52500000	chr14	52500000	52600000	+	10370	24506411	11	2.745564	1.417349	-8.887386	0.347355	2
interaction146469	chr15-57100000	chr15	57100000	57200000	+	10465	chr15-13300000	chr15	13300000	13400000	+	10762	43823248	9	1.857482	1.580047	-8.887358	0.34736	2
interaction146472	chr15-74600000	chr15	74600000	74700000	+	10466	chr15-25800000	chr15	25800000	25900000	+	11371	48789446	9	1.857497	1.584245	-8.887299	0.347372	2
interaction146486	chr14-58400000	chr14	58400000	58500000	+	9867	chr14-31500000	chr14	31500000	31600000	+	11834	26897875	10	2.289	1.493845	-8.886945	0.347461	2
interaction146498	chr15-90800000	chr15	90800000	90900000	+	9872	chr15-47100000	chr15	47100000	47200000	+	11372	43696931	9	1.857682	1.579521	-8.886694	0.34752	2
interaction146505	chr15-64800000	chr15	64800000	64900000	+	14116	chr15-18600000	chr15	18600000	18700000	+	12244	46161301	11	2.745669	1.440268	-8.886601	0.347536	2
interaction146507	chr15-46900000	chr15	46900000	47000000	+	14377	chr15-15500000	chr15	15500000	15600000	+	10548	31416747	11	2.745811	1.416608	-8.886569	0.347544	2
interaction146522	chr14-41700000	chr14	41700000	41800000	+	11409	chr14-17200000	chr14	17200000	17300000	+	13792	24502605	12	3.224928	1.356427	-8.886266	0.347612	2
interaction146541	chr14-59500000	chr14	59500000	59600000	+	10657	chr14-58100000	chr14	58100000	58200000	+	11455	1401616	23	9.473696	1.093259	-8.885707	0.347761	2
interaction146542	chr14-55300000	chr14	55300000	55400000	+	8365	chr14-25800000	chr14	25800000	25900000	+	11094	29503380	9	1.858044	1.571862	-8.885673	0.347771	2
interaction146554	chr15-88500000	chr15	88500000	88600000	+	13713	chr15-82900000	chr15	82900000	83000000	+	9936	5600998	14	4.241237	1.264672	-8.88539	0.347841	2
interaction146558	chr15-102600000	chr15	102600000	102700000	+	12286	chr15-89000000	chr15	89000000	89100000	+	11127	13597523	12	3.225296	1.348229	-8.885308	0.34786	2
interaction146560	chr14-77300000	chr14	77300000	77400000	+	15105	chr14-35000000	chr14	35000000	35100000	+	10967	42315558	11	2.746189	1.432624	-8.885281	0.347864	2
interaction146573	chr15-91000000	chr15	91000000	91100000	+	9906	chr15-54500000	chr15	54500000	54600000	+	10450	36500987	9	1.858135	1.572668	-8.88489	0.347969	2
interaction146596	chr14-94500000	chr14	94500000	94600000	+	10364	chr14-44000000	chr14	44000000	44100000	+	14218	50509861	10	2.289738	1.497427	-8.884248	0.348138	2
interaction146603	chr15-38100000	chr15	38100000	38200000	+	10997	chr15-36300000	chr15	36300000	36400000	+	10030	1798259	19	7.040401	1.173181	-8.884088	0.348179	2
interaction146608	chr14-30900000	chr14	30900000	31000000	+	9310	chr14-21800000	chr14	21800000	21900000	+	13392	9105182	12	3.225991	1.345169	-8.883968	0.348207	2
interaction146634	chr15-87000000	chr15	87000000	87100000	+	12868	chr15-8700000	chr15	8700000	8800000	+	13075	78273128	9	1.858383	1.647888	-8.883384	0.348349	2
interaction146637	chr14-56300000	chr14	56300000	56400000	+	8992	chr14-41700000	chr14	41700000	41800000	+	11409	14603084	10	2.290126	1.48148	-8.883293	0.348373	2
interaction146650	chr15-94700000	chr15	94700000	94800000	+	12114	chr15-44700000	chr15	44700000	44800000	+	12465	50026633	10	2.290026	1.501121	-8.882875	0.348488	2
interaction146678	chr15-88900000	chr15	88900000	89000000	+	7979	chr15-8200000	chr15	8200000	8300000	+	12393	80695256	7	1.087807	1.831774	-8.882114	0.348688	2
interaction146680	chr15-4900000	chr15	4900000	5000000	+	11766	chr15-3800000	chr15	3800000	3900000	+	8513	1115670	25	10.745111	1.08282	-8.882088	0.348693	2
interaction146706	chr14-79500000	chr14	79500000	79600000	+	9888	chr14-21800000	chr14	21800000	21900000	+	13392	57701071	9	1.859006	1.599054	-8.881448	0.348853	2
interaction146717	chr15-103300000	chr15	103300000	103400000	+	12153	chr15-8000000	chr15	8000000	8100000	+	12375	95265822	8	1.456544	1.776677	-8.881074	0.348957	2
interaction146737	chr15-103000000	chr15	103000000	103100000	+	12715	chr15-74600000	chr15	74600000	74700000	+	10466	28402509	11	2.74779	1.428355	-8.880441	0.34913	2
interaction146744	chr14-38500000	chr14	38500000	38600000	+	12679	chr14-29200000	chr14	29200000	29300000	+	13509	9284458	14	4.242994	1.240656	-8.880227	0.349188	2
interaction146745	chr14-57300000	chr14	57300000	57400000	+	9982	chr14-52900000	chr14	52900000	53000000	+	10692	4393444	13	3.726428	1.328018	-8.880186	0.3492	2
interaction146755	chr15-72900000	chr15	72900000	73000000	+	10555	chr15-57600000	chr15	57600000	57700000	+	12454	15308677	11	2.747945	1.417267	-8.879933	0.349265	2
interaction146757	chr14-51600000	chr14	51600000	51700000	+	11432	chr14-49800000	chr14	49800000	49900000	+	11894	1804305	22	8.855223	1.08359	-8.87986	0.349285	2
interaction146785	chr15-89800000	chr15	89800000	89900000	+	10999	chr15-72000000	chr15	72000000	72100000	+	14279	17819462	12	3.227463	1.357885	-8.87924	0.349436	2
interaction146790	chr14-52800000	chr14	52800000	52900000	+	12802	chr14-20800000	chr14	20800000	20900000	+	11310	31992951	11	2.748149	1.416677	-8.879105	0.349471	2
interaction146803	chr15-96800000	chr15	96800000	96900000	+	11921	chr15-73200000	chr15	73200000	73300000	+	9369	23603177	10	2.2914	1.483608	-8.878744	0.349566	2
interaction146812	chr15-85200000	chr15	85200000	85300000	+	12177	chr15-57500000	chr15	57500000	57600000	+	11665	27714823	11	2.748308	1.42574	-8.878527	0.349621	2
interaction146856	chr14-76700000	chr14	76700000	76800000	+	11551	chr14-63100000	chr14	63100000	63200000	+	15363	13602615	13	3.727307	1.293148	-8.877376	0.34992	2
interaction146877	chr15-99100000	chr15	99100000	99200000	+	9572	chr15-97800000	chr15	97800000	97900000	+	11486	1295016	24	10.110346	1.081221	-8.876901	0.350035	2
interaction146889	chr15-100200000	chr15	100200000	100300000	+	11087	chr15-36600000	chr15	36600000	36700000	+	12678	63605270	9	1.860153	1.590626	-8.876659	0.350092	2
interaction146905	chr15-86700000	chr15	86700000	86800000	+	13778	chr15-71500000	chr15	71500000	71600000	+	10956	15197718	12	3.228489	1.356207	-8.876365	0.350155	2
interaction146915	chr14-66200000	chr14	66200000	66300000	+	8292	chr14-22600000	chr14	22600000	22700000	+	13396	43591708	9	1.86046	1.57811	-8.876132	0.350213	2
interaction146918	chr15-54300000	chr15	54300000	54400000	+	9607	chr15-3600000	chr15	3600000	3700000	+	12376	50697931	9	1.860379	1.573289	-8.87608	0.350224	2
interaction146926	chr14-62300000	chr14	62300000	62400000	+	12800	chr14-55400000	chr14	55400000	55500000	+	9177	6910258	12	3.228881	1.35948	-8.875888	0.350273	2
interaction146948	chr15-85100000	chr15	85100000	85200000	+	7204	chr15-77900000	chr15	77900000	78000000	+	8864	7198101	9	1.860729	1.566156	-8.875479	0.350365	2
interaction146965	chr14-52700000	chr14	52700000	52800000	+	9594	chr14-34200000	chr14	34200000	34300000	+	11199	18494196	10	2.292415	1.484854	-8.875152	0.350437	2
interaction146972	chr15-102500000	chr15	102500000	102600000	+	10381	chr15-82900000	chr15	82900000	83000000	+	9936	19590397	10	2.292405	1.48309	-8.875092	0.350444	2
interaction146979	chr15-45800000	chr15	45800000	45900000	+	10741	chr15-15600000	chr15	15600000	15700000	+	11371	30183696	10	2.292381	1.492296	-8.874974	0.350466	2
interaction146990	chr14-122500000	chr14	122500000	122600000	+	13758	chr14-70100000	chr14	70100000	70200000	+	6821	52396528	8	1.45816	1.665971	-8.874813	0.350498	2
interaction146995	chr15-77700000	chr15	77700000	77800000	+	9868	chr15-74900000	chr15	74900000	75000000	+	7806	2802952	13	3.728995	1.370398	-8.874674	0.350533	2
interaction147003	chr15-72600000	chr15	72600000	72700000	+	13037	chr15-27300000	chr15	27300000	27400000	+	8806	45301948	9	1.86082	1.587283	-8.874548	0.35056	2
interaction147035	chr15-96100000	chr15	96100000	96200000	+	12735	chr15-93300000	chr15	93300000	93400000	+	12582	2798397	20	7.6403	1.090436	-8.873938	0.350696	2
interaction147038	chr14-66400000	chr14	66400000	66500000	+	12808	chr14-64100000	chr14	64100000	64200000	+	12459	2287402	21	8.244993	1.086556	-8.873911	0.350698	2
interaction147064	chr14-55600000	chr14	55600000	55700000	+	9826	chr14-21200000	chr14	21200000	21300000	+	10021	34403275	9	1.861071	1.565851	-8.873292	0.350853	2
interaction147072	chr15-85700000	chr15	85700000	85800000	+	7744	chr15-72700000	chr15	72700000	72800000	+	12986	13004263	10	2.293188	1.469874	-8.873132	0.35089	2
interaction147107	chr14-79800000	chr14	79800000	79900000	+	11903	chr14-71300000	chr14	71300000	71400000	+	12483	8488651	13	3.729326	1.300103	-8.872065	0.351181	2
interaction147116	chr15-85700000	chr15	85700000	85800000	+	7744	chr15-76300000	chr15	76300000	76400000	+	11398	9398912	10	2.293538	1.469281	-8.871918	0.351212	2
interaction147119	chr14-63400000	chr14	63400000	63500000	+	12285	chr14-27300000	chr14	27300000	27400000	+	10431	36124492	10	2.293303	1.494216	-8.871847	0.351229	2
interaction147122	chr15-85900000	chr15	85900000	86000000	+	9877	chr15-83400000	chr15	83400000	83500000	+	9184	2519125	15	4.780392	1.288658	-8.871836	0.351229	2
interaction147130	chr15-68600000	chr15	68600000	68700000	+	12618	chr15-28400000	chr15	28400000	28500000	+	10907	40201713	10	2.293319	1.499449	-8.87168	0.351262	2
interaction147136	chr15-80200000	chr15	80200000	80300000	+	8225	chr15-79700000	chr15	79700000	79800000	+	7925	495674	29	13.371295	1.141956	-8.871537	0.351298	2
interaction147138	chr14-61300000	chr14	61300000	61400000	+	10866	chr14-58400000	chr14	58400000	58500000	+	9867	2898384	15	4.780376	1.266286	-8.871502	0.351305	2
interaction147143	chr15-45100000	chr15	45100000	45200000	+	13781	chr15-15200000	chr15	15200000	15300000	+	10666	29896218	11	2.750711	1.42586	-8.871316	0.351359	2
interaction147212	chr14-11400000	chr14	11400000	11500000	+	9567	chr14-9400000	chr14	9400000	9500000	+	14006	1999001	22	8.862585	1.073116	-8.86987	0.351704	2
interaction147216	chr14-87500000	chr14	87500000	87600000	+	10818	chr14-22600000	chr14	22600000	22700000	+	13396	64879224	9	1.8619	1.596605	-8.869801	0.351717	2
interaction147222	chr14-67200000	chr14	67200000	67300000	+	11015	chr14-48400000	chr14	48400000	48500000	+	10168	18806171	10	2.293951	1.482744	-8.869665	0.35175	2
interaction147236	chr14-14800000	chr14	14800000	14900000	+	10534	chr14-8900000	chr14	8900000	9000000	+	10532	5911185	13	3.730513	1.30712	-8.869441	0.351797	2
interaction147238	chr15-98000000	chr15	98000000	98100000	+	7824	chr15-77600000	chr15	77600000	77700000	+	10854	20423690	9	1.862206	1.567874	-8.869391	0.351808	2
interaction147245	chr15-46800000	chr15	46800000	46900000	+	10046	chr15-18400000	chr15	18400000	18500000	+	9438	28406045	9	1.862158	1.572215	-8.869088	0.351898	2
interaction147263	chr14-55400000	chr14	55400000	55500000	+	9177	chr14-31900000	chr14	31900000	32000000	+	12296	23490705	10	2.294382	1.482814	-8.868451	0.352079	2
interaction147272	chr15-88600000	chr15	88600000	88700000	+	9375	chr15-34400000	chr15	34400000	34500000	+	10456	54233264	8	1.459401	1.677345	-8.868342	0.352096	2
interaction147288	chr15-84300000	chr15	84300000	84400000	+	10856	chr15-73500000	chr15	73500000	73600000	+	6975	10810686	9	1.862667	1.547504	-8.867924	0.352207	2
interaction147291	chr15-45400000	chr15	45400000	45500000	+	9910	chr15-21500000	chr15	21500000	21600000	+	14273	23884683	11	2.751927	1.412771	-8.867768	0.352253	2
interaction147304	chr14-90000000	chr14	90000000	90100000	+	12130	chr14-39800000	chr14	39800000	39900000	+	10096	50180760	9	1.862529	1.574993	-8.867469	0.352327	2
interaction147308	chr15-58800000	chr15	58800000	58900000	+	11010	chr15-57800000	chr15	57800000	57900000	+	11212	1000887	28	12.707591	1.029002	-8.867392	0.352347	2
interaction147322	chr15-98600000	chr15	98600000	98700000	+	9614	chr15-82800000	chr15	82800000	82900000	+	10565	15804052	10	2.294763	1.483947	-8.866998	0.35245	2
interaction147324	chr14-91200000	chr14	91200000	91300000	+	7898	chr14-36900000	chr14	36900000	37000000	+	12479	54329327	8	1.459821	1.67815	-8.86678	0.352522	2
interaction147325	chr14-86100000	chr14	86100000	86200000	+	10875	chr14-13700000	chr14	13700000	13800000	+	11073	72409397	8	1.459681	1.715582	-8.866777	0.352522	2
interaction147326	chr15-86800000	chr15	86800000	86900000	+	9875	chr15-57200000	chr15	57200000	57300000	+	14876	29576368	11	2.75226	1.42516	-8.866746	0.352529	2
interaction147334	chr15-97500000	chr15	97500000	97600000	+	8598	chr15-74900000	chr15	74900000	75000000	+	7806	22578550	8	1.459867	1.641729	-8.866596	0.352563	2
interaction147335	chr15-70100000	chr15	70100000	70200000	+	11665	chr15-32800000	chr15	32800000	32900000	+	11321	37280078	10	2.29476	1.497204	-8.866591	0.352563	2
interaction147338	chr15-42900000	chr15	42900000	43000000	+	13065	chr15-32900000	chr15	32900000	33000000	+	12280	10004020	13	3.731426	1.28803	-8.866551	0.352569	2
interaction147353	chr15-31200000	chr15	31200000	31300000	+	10207	chr15-28200000	chr15	28200000	28300000	+	10637	2998118	15	4.782689	1.261785	-8.866198	0.352658	2
interaction147374	chr15-103400000	chr15	103400000	103490928	+	8926	chr15-57200000	chr15	57200000	57300000	+	14876	46191553	10	2.295262	1.506785	-8.865483	0.352861	2
interaction147402	chr14-67100000	chr14	67100000	67200000	+	12035	chr14-23500000	chr14	23500000	23600000	+	11456	43616899	10	2.295333	1.499897	-8.864577	0.353113	2
interaction147408	chr14-61100000	chr14	61100000	61200000	+	7318	chr14-20800000	chr14	20800000	20900000	+	11310	40293826	8	1.46036	1.662008	-8.864484	0.353133	2
interaction147456	chr15-100200000	chr15	100200000	100300000	+	11087	chr15-79200000	chr15	79200000	79300000	+	7569	20998908	9	1.863664	1.571743	-8.863734	0.353282	2
interaction147475	chr15-89400000	chr15	89400000	89500000	+	9135	chr15-11300000	chr15	11300000	11400000	+	10397	78096502	7	1.091144	1.831582	-8.863308	0.353386	2
interaction147477	chr15-49300000	chr15	49300000	49400000	+	15915	chr15-21300000	chr15	21300000	21400000	+	10780	28003504	12	3.23317	1.364451	-8.863257	0.353399	2
interaction147494	chr14-65500000	chr14	65500000	65600000	+	12592	chr14-21800000	chr14	21800000	21900000	+	13392	43685987	11	2.753328	1.431109	-8.862761	0.353534	2
interaction147504	chr14-100600000	chr14	100600000	100700000	+	10598	chr14-6000000	chr14	6000000	6100000	+	13637	94597000	8	1.460606	1.776865	-8.862564	0.35358	2
interaction147505	chr15-56700000	chr15	56700000	56800000	+	7642	chr15-33700000	chr15	33700000	33800000	+	7005	23018511	7	1.09137	1.73648	-8.862545	0.353584	2
interaction147511	chr15-56600000	chr15	56600000	56700000	+	12782	chr15-18800000	chr15	18800000	18900000	+	10280	37801930	10	2.296038	1.500111	-8.862399	0.353621	2
interaction147523	chr14-57200000	chr14	57200000	57300000	+	11205	chr14-26000000	chr14	26000000	26100000	+	13183	31194706	11	2.753613	1.415025	-8.862181	0.353671	2
interaction147538	chr15-64800000	chr15	64800000	64900000	+	14116	chr15-15300000	chr15	15300000	15400000	+	10738	49503432	10	2.296171	1.50324	-8.861828	0.35376	2
interaction147551	chr15-101100000	chr15	101100000	101200000	+	9954	chr15-74700000	chr15	74700000	74800000	+	11112	26383567	10	2.296317	1.489607	-8.861519	0.353837	2
interaction147553	chr15-88900000	chr15	88900000	89000000	+	7979	chr15-11900000	chr15	11900000	12000000	+	11500	76987403	7	1.09151	1.821059	-8.86151	0.353837	2
interaction147559	chr15-47200000	chr15	47200000	47300000	+	12363	chr15-20500000	chr15	20500000	20600000	+	11528	26692477	11	2.75385	1.422117	-8.861371	0.35387	2
interaction147584	chr15-74500000	chr15	74500000	74600000	+	10942	chr15-59400000	chr15	59400000	59500000	+	14076	15101527	12	3.233945	1.35355	-8.86103	0.353932	2
interaction147605	chr14-72200000	chr14	72200000	72300000	+	14060	chr14-20400000	chr14	20400000	20500000	+	15568	51816954	12	3.233877	1.370382	-8.860506	0.354067	2
interaction147612	chr14-61900000	chr14	61900000	62000000	+	10694	chr14-21400000	chr14	21400000	21500000	+	10002	40508793	9	1.864358	1.575396	-8.860267	0.354138	2
interaction147620	chr14-79700000	chr14	79700000	79800000	+	9956	chr14-76100000	chr14	76100000	76200000	+	7019	3617131	11	2.754836	1.457585	-8.860038	0.354195	2
interaction147621	chr14-94300000	chr14	94300000	94400000	+	9817	chr14-39300000	chr14	39300000	39400000	+	13091	55021939	9	1.864432	1.591535	-8.860019	0.3542	2
interaction147636	chr14-66000000	chr14	66000000	66100000	+	10251	chr14-32600000	chr14	32600000	32700000	+	9821	33392958	9	1.864509	1.559064	-8.859715	0.354271	2
interaction147665	chr15-67900000	chr15	67900000	68000000	+	11213	chr15-41800000	chr15	41800000	41900000	+	13136	26098679	11	2.754669	1.421981	-8.858908	0.354488	2
interaction147676	chr15-103200000	chr15	103200000	103300000	+	11053	chr15-97500000	chr15	97500000	97600000	+	8598	5721396	12	3.235084	1.364385	-8.858712	0.354531	2
interaction147685	chr15-89100000	chr15	89100000	89200000	+	7690	chr15-72300000	chr15	72300000	72400000	+	11317	16772718	9	1.865006	1.562147	-8.858391	0.354623	2
interaction147687	chr14-69900000	chr14	69900000	70000000	+	11785	chr14-61400000	chr14	61400000	61500000	+	10788	8521793	12	3.234978	1.353131	-8.858176	0.354695	2
interaction147689	chr15-102300000	chr15	102300000	102400000	+	11458	chr15-97000000	chr15	97000000	97100000	+	9537	5285269	13	3.735047	1.315751	-8.858159	0.354696	2
interaction147690	chr15-94500000	chr15	94500000	94600000	+	9883	chr15-68500000	chr15	68500000	68600000	+	11593	26019199	10	2.297295	1.490473	-8.858148	0.354697	2
interaction147700	chr15-72600000	chr15	72600000	72700000	+	13037	chr15-51600000	chr15	51600000	51700000	+	14697	21023557	13	3.734723	1.309943	-8.857873	0.354771	2
interaction147704	chr15-103000000	chr15	103000000	103100000	+	12715	chr15-85000000	chr15	85000000	85100000	+	6410	17990472	9	1.865303	1.559234	-8.857804	0.354785	2
interaction147705	chr15-97700000	chr15	97700000	97800000	+	7399	chr15-76300000	chr15	76300000	76400000	+	11398	21412621	9	1.865195	1.568819	-8.857762	0.354798	2
interaction147713	chr14-28800000	chr14	28800000	28900000	+	12790	chr14-6100000	chr14	6100000	6200000	+	3598	22713673	7	1.092618	1.732801	-8.85763	0.354826	2
interaction147717	chr15-102000000	chr15	102000000	102100000	+	9701	chr15-101000000	chr15	101000000	101100000	+	11669	999717	29	13.380511	1.008656	-8.857469	0.354873	2
interaction147725	chr15-90200000	chr15	90200000	90300000	+	11343	chr15-71900000	chr15	71900000	72000000	+	11722	18305091	11	2.755166	1.415863	-8.857339	0.3549	2
interaction147737	chr14-34500000	chr14	34500000	34600000	+	11183	chr14-24900000	chr14	24900000	25000000	+	7934	9583364	10	2.297797	1.467882	-8.857073	0.354966	2
interaction147739	chr15-46100000	chr15	46100000	46200000	+	8227	chr15-17400000	chr15	17400000	17500000	+	8843	28709068	8	1.461919	1.658006	-8.857026	0.354978	2
interaction147740	chr15-85900000	chr15	85900000	86000000	+	9877	chr15-36900000	chr15	36900000	37000000	+	12049	48994804	9	1.865187	1.582124	-8.857025	0.354978	2
interaction147743	chr14-25900000	chr14	25900000	26000000	+	11392	chr14-20900000	chr14	20900000	21000000	+	12513	5006083	15	4.786638	1.223933	-8.856933	0.355001	2
interaction147744	chr14-31000000	chr14	31000000	31100000	+	12894	chr14-25900000	chr14	25900000	26000000	+	11392	5070754	15	4.786649	1.220839	-8.856908	0.355007	2
interaction147779	chr15-73000000	chr15	73000000	73100000	+	10865	chr15-28000000	chr15	28000000	28100000	+	8166	45010897	8	1.462143	1.670995	-8.856011	0.355242	2
interaction147789	chr15-101000000	chr15	101000000	101100000	+	11669	chr15-36900000	chr15	36900000	37000000	+	12049	64109124	9	1.865396	1.588542	-8.855853	0.355274	2
interaction147815	chr15-89000000	chr15	89000000	89100000	+	11127	chr15-81900000	chr15	81900000	82000000	+	7137	7083075	10	2.298437	1.486647	-8.855235	0.355431	2
interaction147836	chr15-84600000	chr15	84600000	84700000	+	8316	chr15-76700000	chr15	76700000	76800000	+	12076	7917883	11	2.756315	1.41911	-8.854775	0.355544	2
interaction147849	chr15-85400000	chr15	85400000	85500000	+	12243	chr15-82000000	chr15	82000000	82100000	+	10396	3411365	16	5.336317	1.205806	-8.854457	0.355626	2
interaction147863	chr14-87800000	chr14	87800000	87900000	+	15675	chr14-59700000	chr14	59700000	59800000	+	11061	28133940	12	3.236341	1.363808	-8.854271	0.355658	2
interaction147887	chr14-65300000	chr14	65300000	65400000	+	14653	chr14-26100000	chr14	26100000	26200000	+	11006	39208691	11	2.756413	1.429139	-8.853562	0.355853	2
interaction147889	chr15-96300000	chr15	96300000	96400000	+	10321	chr15-31500000	chr15	31500000	31600000	+	13971	64803789	9	1.866048	1.592741	-8.853536	0.355857	2
interaction147930	chr14-103400000	chr14	103400000	103500000	+	13256	chr14-19000000	chr14	19000000	19100000	+	7767	84419026	7	1.093206	1.837381	-8.852153	0.356251	2
interaction147934	chr15-89800000	chr15	89800000	89900000	+	10999	chr15-45900000	chr15	45900000	46000000	+	10277	43900271	9	1.866418	1.575516	-8.852087	0.356265	2
interaction147940	chr14-61200000	chr14	61200000	61300000	+	11184	chr14-33000000	chr14	33000000	33100000	+	12751	28192292	11	2.756901	1.424571	-8.852007	0.356279	2
interaction147941	chr15-100400000	chr15	100400000	100500000	+	9471	chr15-79000000	chr15	79000000	79100000	+	8832	21395178	9	1.866531	1.568182	-8.852001	0.356279	2
interaction147948	chr15-99400000	chr15	99400000	99500000	+	10957	chr15-97000000	chr15	97000000	97100000	+	9537	2395575	17	5.899604	1.209209	-8.851807	0.356331	2
interaction147988	chr14-99800000	chr14	99800000	99900000	+	9436	chr14-34400000	chr14	34400000	34500000	+	12024	65384907	8	1.463192	1.689307	-8.850882	0.356564	2
interaction147989	chr14-27300000	chr14	27300000	27400000	+	10431	chr14-8600000	chr14	8600000	8700000	+	9420	18696454	10	2.299446	1.482007	-8.850838	0.356578	2
